GO_CC(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_CC,Protein_Domain
mitochondrial inner membrane,235,"['Q0045', 'Q0085', 'Q0105', 'Q0110', 'Q0115', 'Q0250', 'Q0275', 'YAL039C', 'YAR035W', 'YBL030C', 'YBL045C', 'YBL059C-A', 'YBL095W', 'YBL099W', 'YBR003W', 'YBR024W', 'YBR037C', 'YBR039W', 'YBR044C', 'YBR085W', 'YBR091C', 'YBR104W', 'YBR179C', 'YBR185C', 'YBR192W', 'YBR227C', 'YBR238C', 'YBR244W', 'YBR262C', 'YBR291C', 'YCL044C', 'YCL057C-A', 'YDL004W', 'YDL067C', 'YDL069C', 'YDL107W', 'YDL119C', 'YDL142C', 'YDL174C', 'YDL198C', 'YDL217C', 'YDR079W', 'YDR119W-A', 'YDR125C', 'YDR178W', 'YDR185C', 'YDR204W', 'YDR231C', 'YDR236C', 'YDR282C', 'YDR298C', 'YDR316W', 'YDR322C-A', 'YDR350C', 'YDR375C', 'YDR376W', 'YDR377W', 'YDR393W', 'YDR529C', 'YEL006W', 'YEL020W-A', 'YEL024W', 'YEL052W', 'YEL059C-A', 'YER014W', 'YER017C', 'YER053C', 'YER078C', 'YER141W', 'YER153C', 'YER154W', 'YER170W', 'YFL046W', 'YFR011C', 'YFR033C', 'YFR045W', 'YGL080W', 'YGL107C', 'YGL119W', 'YGL187C', 'YGL191W', 'YGR015C', 'YGR033C', 'YGR046W', 'YGR062C', 'YGR096W', 'YGR101W', 'YGR102C', 'YGR110W', 'YGR112W', 'YGR132C', 'YGR174C', 'YGR181W', 'YGR183C', 'YGR222W', 'YGR231C', 'YGR235C', 'YGR243W', 'YGR255C', 'YGR257C', 'YHR001W-A', 'YHR002W', 'YHR005C-A', 'YHR037W', 'YHR051W', 'YHR100C', 'YHR162W', 'YHR168W', 'YHR194W', 'YIL006W', 'YIL022W', 'YIL111W', 'YIL134W', 'YIL155C', 'YIL157C', 'YIR024C', 'YJL003W', 'YJL045W', 'YJL054W', 'YJL062W-A', 'YJL104W', 'YJL133W', 'YJL143W', 'YJL166W', 'YJL208C', 'YJR045C', 'YJR077C', 'YJR095W', 'YJR121W', 'YJR135W-A', 'YKL011C', 'YKL016C', 'YKL087C', 'YKL120W', 'YKL137W', 'YKL141W', 'YKL148C', 'YKL195W', 'YKR016W', 'YKR052C', 'YKR065C', 'YKR087C', 'YLL041C', 'YLR008C', 'YLR038C', 'YLR067C', 'YLR099C', 'YLR139C', 'YLR164W', 'YLR168C', 'YLR188W', 'YLR193C', 'YLR201C', 'YLR203C', 'YLR204W', 'YLR218C', 'YLR251W', 'YLR253W', 'YLR259C', 'YLR283W', 'YLR289W', 'YLR295C', 'YLR348C', 'YLR393W', 'YLR395C', 'YML042W', 'YML061C', 'YML110C', 'YML120C', 'YML129C', 'YMR023C', 'YMR035W', 'YMR038C', 'YMR056C', 'YMR089C', 'YMR097C', 'YMR098C', 'YMR115W', 'YMR118C', 'YMR150C', 'YMR166C', 'YMR241W', 'YMR256C', 'YMR257C', 'YMR301C', 'YMR302C', 'YNL003C', 'YNL052W', 'YNL083W', 'YNL100W', 'YNL169C', 'YNL310C', 'YNL328C', 'YNR017W', 'YNR020C', 'YNR040W', 'YNR041C', 'YNR045W', 'YOL008W', 'YOL027C', 'YOL077W-A', 'YOL095C', 'YOL096C', 'YOR037W', 'YOR065W', 'YOR100C', 'YOR125C', 'YOR130C', 'YOR147W', 'YOR176W', 'YOR205C', 'YOR211C', 'YOR222W', 'YOR241W', 'YOR266W', 'YOR297C', 'YOR334W', 'YOR356W', 'YPL005W', 'YPL060W', 'YPL063W', 'YPL078C', 'YPL099C', 'YPL132W', 'YPL134C', 'YPL189C-A', 'YPL270W', 'YPL271W', 'YPR011C', 'YPR021C', 'YPR024W', 'YPR058W', 'YPR125W', 'YPR140W', 'YPR191W']","['coenzyme Q10 deficiency disease', 'paraganglioma']","['ATP6', 'COX2', 'MDM10', 'GEM1', 'PIM1', 'PET9', 'URA7', 'ATP1', 'MIS1', 'YMC2', 'FZO1', 'MBA1', 'SLX1', 'YBR238C', 'MGR1', 'CIT2', 'COX9', 'CRD1', 'YDL157C', 'TIM22', 'SOR2', 'MRH1', 'TGL2', 'TMS1', 'UPS3', 'MFB1', 'COX20', 'ATP5', 'IPK1', 'TIM11', 'ATP17', 'CYM1', 'EMI1', 'TIM9', 'AFG3', 'FCY21', 'ICP55', 'ILV1', 'OXA1', 'PDA1', 'MDJ1', 'QCR6', 'LEU1', 'COQ8', 'STR3', 'MDM34', 'ERV1', 'COX18', 'SHY1', 'MEP1', 'PHB1', 'SKN1', 'CBP4', 'QCR9', 'XKS1', 'PET54', 'PHB2', 'SOL4', 'QCR10', 'COX6', 'PAN5', 'GEP4', 'LAM1', 'MDM31', 'VID28', 'TIM44', 'FIS1', 'FYV10', 'COX5B', 'PAM16', 'MRS3', 'TIM17', 'QCR8', 'ATP12', 'SSC1', 'UTR1', 'TOR1', 'YJR120W', 'ATP2', 'STR2', 'MGM101', 'ATP7', 'MAE1', 'MDM35', 'FBA1', 'AAT1', 'RMA1', '1-Oct', 'SDH3', 'YRA2', 'URA1', 'MIC60', 'GLG1', 'PAM17', 'OMA1', 'YKR104W', 'DNM1', 'COX17', 'PAM18', 'COX12', 'PUT1', 'UPS2', 'MDL1', 'UPS1', 'MSS51', 'MCP2', 'ATP14', 'ATP10', 'ATP18', 'AIM33', 'ADH3', 'YTA12', 'MGR3', 'NDE1', 'IMP1', 'PFK2', 'YHM2', 'COA6', 'COX7', 'PET111', 'PPA2', 'AEP2', 'HER2', 'YME2', 'POR1', 'TOM7', 'LAT1', 'SAL1', 'PHO23', 'MIC27', 'PSD1', 'SIP3', 'ATP11', 'TIM23', 'ATP23', 'MDM12', 'IFM1', 'MDM38', 'RIB2', 'IRA2', 'TOM6', 'CYT1', 'LEU9', 'IAH1', 'MDM32', 'GEP3', 'MGM1', 'TIM18', 'MIP1', 'MRS2', 'PDE2', 'ALD4', 'ATP4', 'GLR1', 'MGR2', 'INA17', 'FMP30', 'IDI1', 'COX11', 'COX10', 'COA2', 'FUM1', 'ATP20', 'YME1', 'MSF1', 'TOM5', 'TAZ1', 'SGE1', 'AFG1', 'AIM11', 'COX15', 'FMP10', 'MIC19', 'TIM21', 'MDR1', 'PET130', 'SIP5']","['ATP:ADP antiporter activity', 'ATPase activity', 'L-ornithine transmembrane transporter activity', 'copper ion binding', 'cytochrome-c oxidase activity', 'electron carrier activity', 'lysophosphatidic acid acyltransferase activity', 'metalloendopeptidase activity', 'mitochondrial ribosome binding', 'oxidoreductase activity', 'phosphatidic acid transporter activity', 'protein transmembrane transporter activity', 'protein transporter activity', 'proton-transporting ATP synthase activity, rotational mechanism', 'pyruvate transmembrane transporter activity', 'quinone binding', 'succinate dehydrogenase (ubiquinone) activity', 'succinate dehydrogenase activity', 'translation regulator activity', 'ubiquinol-cytochrome-c reductase activity']","['ATP biosynthetic process', 'ATP synthesis coupled proton transport', 'aerobic respiration', 'cardiolipin acyl-chain remodeling', 'cardiolipin metabolic process', 'cellular respiration', 'cristae formation', 'cytochrome c-heme linkage', 'electron transport chain', 'heme biosynthetic process', 'heme transport', 'hydrogen ion transmembrane transport', 'inner mitochondrial membrane organization', 'ion transport', 'macromolecular complex assembly', 'misfolded or incompletely synthesized protein catabolic process', 'mitochondrial ADP transmembrane transport', 'mitochondrial ATP transmembrane transport', 'mitochondrial L-ornithine transmembrane transport', 'mitochondrial citrate transport', 'mitochondrial electron transport, cytochrome c to oxygen', 'mitochondrial electron transport, succinate to ubiquinone', 'mitochondrial electron transport, ubiquinol to cytochrome c', 'mitochondrial genome maintenance', 'mitochondrial proton-transporting ATP synthase complex assembly', 'mitochondrial pyruvate transport', 'mitochondrial respiratory chain complex III assembly', 'mitochondrial respiratory chain complex IV assembly', 'mitochondrial respiratory chain complex assembly', 'mitochondrial transport', 'mitochondrion organization', 'nucleotide transport', 'oxidative phosphorylation', 'phosphatidic acid biosynthetic process', 'positive regulation of mitochondrial translation', 'protein import into mitochondrial inner membrane', 'protein import into mitochondrial intermembrane space', 'protein import into mitochondrial matrix', 'protein insertion into mitochondrial membrane from inner side', 'protein transmembrane transport', 'respiratory electron transport chain', 'signal peptide processing', 'transmembrane transport', 'tricarboxylic acid cycle', 'ubiquinone biosynthetic process']","['aerobic respiration, electron transport chain', 'ubiquinone biosynthesis from 4-hydroxybenzoate']","['biofilm formation: decreased', 'biofilm formation: increased', 'chemical compound accumulation: abnormal', 'chemical compound accumulation: decreased', 'chemical compound accumulation: increased', 'chronological lifespan: decreased', 'competitive fitness: decreased', 'desiccation resistance: decreased', 'innate thermotolerance: decreased', 'invasive growth: increased', 'mitochondrial genome maintenance: abnormal', 'mitochondrial genome maintenance: absent', 'mitochondrial genome maintenance: decreased', 'mitochondrial morphology: abnormal', 'mitochondrial rho- mutation frequency: increased', 'mitochondrial transport: decreased', 'oxidative stress resistance: decreased', 'petite', 'petite-negative', 'protein activity: decreased', 'protein/peptide accumulation: absent', 'protein/peptide accumulation: decreased', 'protein/peptide modification: abnormal', 'respiratory growth: absent', 'respiratory growth: decreased', 'respiratory growth: decreased rate', 'respiratory growth: normal', 'respiratory metabolism: decreased', 'stress resistance: increased', 'survival rate in stationary phase: decreased', 'utilization of carbon source: absent', 'utilization of carbon source: decreased', 'utilization of carbon source: decreased rate', 'utilization of nitrogen source: decreased rate', 'vegetative growth: decreased rate', 'viable']","['COX1', 'ATP8', 'ATP6', 'COB', 'OLI1', 'COX2', 'PET9', 'COR1', 'ATP1', 'SCO2', 'SCO1', 'TIM12', 'OM14', 'MIC12', 'MGR1', 'MIC10', 'COX9', 'INH1', 'TIM22', 'SDH4', 'COX20', 'ATP5', 'TIM11', 'BCS1', 'ATP17', 'QCR7', 'TIM9', 'RIP1', 'AFG3', 'COX15', 'OXA1', 'MIC19', 'MPC1', 'NAB2', 'COX4', 'COX13', 'TIM21', 'COX18', 'SHY1', 'PHB1', 'CBP4', 'PET54', 'PHB2', 'MIC26', 'COQ6', 'QCR10', 'TIM10', 'COX6', 'MPC2', 'TIM44', 'COA1', 'TIM54', 'COA3', 'PAM16', 'TIM17', 'QCR8', 'SSC1', 'CYC1', 'ATP2', 'ATP7', 'SDH3', 'MIA40', 'MIC60', 'PAM17', 'PUF3', 'SDH2', 'PAM18', 'COQ9', 'MSS51', 'COQ11', 'ATP14', 'COX8', 'RCF1', 'CYB2', 'ATP18', 'COX14', 'YTA12', 'TOM40', 'COX7', 'COX5A', 'MIC27', 'TOM70', 'TOM22', 'BXI1', 'MDJ2', 'TIM23', 'RCF2', 'MDM38', 'COQ3', 'CYT1', 'CAT5', 'TIM18', 'TIM50', 'ATP4', 'CBP3', 'ATP15', 'YME1', 'QCR2', 'VAR1', 'COX3', 'PET100', 'COX26', 'QCR6', 'COX5B', 'COX12', 'NDE1', 'MGR2', 'ODC1']","['HAP4', 'HAP1']","['MICOS complex', 'extrinsic component of mitochondrial inner membrane', 'i-AAA complex', 'integral component of membrane', 'integral component of mitochondrial inner membrane', 'integral component of mitochondrial membrane', 'intrinsic component of mitochondrial inner membrane', 'membrane', 'mitochondrial crista', 'mitochondrial crista junction', 'mitochondrial envelope', 'mitochondrial inner boundary membrane', 'mitochondrial inner membrane peptidase complex', 'mitochondrial inner membrane presequence translocase complex', 'mitochondrial inner membrane protein insertion complex', 'mitochondrial intermembrane space', 'mitochondrial intermembrane space protein transporter complex', 'mitochondrial matrix', 'mitochondrial membrane', 'mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)', 'mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)', 'mitochondrial proton-transporting ATP synthase, central stalk', 'mitochondrial proton-transporting ATP synthase, stator stalk', 'mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)', 'mitochondrial respiratory chain complex III', 'mitochondrial respiratory chain complex IV', 'mitochondrion', 'presequence translocase-associated import motor', 'proton-transporting ATP synthase complex, catalytic core F(1)', 'proton-transporting ATP synthase complex, coupling factor F(o)', 'respiratory chain']","['Mitochondrial carrier protein', 'Tim10/DDP family zinc finger']"
mitochondrial inner membrane peptidase complex,3,"['YEL059C-A', 'YMR035W', 'YMR150C']",,,"['endopeptidase activity', 'serine-type endopeptidase activity', 'serine-type peptidase activity']","['mitochondrial respiratory chain complex assembly', 'protein processing involved in protein targeting to mitochondrion', 'proteolysis', 'signal peptide processing']",,['protein/peptide accumulation: absent'],['IMP1'],,,"['Signal peptidase, peptidase S26']"
mitochondrial inner membrane presequence translocase complex,7,"['YGR033C', 'YJL104W', 'YJL143W', 'YLR008C', 'YNR017W', 'YPL063W', 'YPL098C']",,"['TIM44', 'TIM17']",['protein transmembrane transporter activity'],"['protein import into mitochondrial matrix', 'protein transport']",,,"['PET9', 'COR1', 'RIP1', 'OXA1', 'COX4', 'TIM21', 'TIM44', 'PAM16', 'TIM17', 'SSC1', 'PAM17', 'PAM18', 'CYB2', 'TOM40', 'TOM22', 'MDJ2', 'TIM23', 'TIM50', 'MGR2']",,"['mitochondrial inner membrane', 'mitochondrion', 'presequence translocase-associated import motor']",['Tim17/Tim22/Tim23/Pmp24 family']
mitochondrial inner membrane protein insertion complex,6,"['YBR091C', 'YDL217C', 'YEL020W-A', 'YJL054W', 'YKL141W', 'YOR297C']",,,['protein transmembrane transporter activity'],"['protein import into mitochondrial inner membrane', 'protein transmembrane transport', 'protein transport']",,['petite-negative'],"['TIM12', 'TIM22', 'TIM9', 'TIM10', 'TIM54', 'MIA40', 'TIM23', 'TIM18']",,"['mitochondrial inner membrane', 'mitochondrion']",
mitochondrial intermembrane space,68,"['YAL039C', 'YBL033C', 'YBL059C-A', 'YBL107C', 'YBR035C', 'YBR056W', 'YBR091C', 'YCL057W', 'YCR079W', 'YDL085W', 'YDR031W', 'YDR044W', 'YDR058C', 'YDR155C', 'YDR185C', 'YDR226W', 'YDR353W', 'YDR430C', 'YDR487C', 'YDR511W', 'YEL020W-A', 'YEL039C', 'YER057C', 'YFR033C', 'YGR029W', 'YGR181W', 'YHR005C-A', 'YHR116W', 'YIL155C', 'YIL160C', 'YIR037W', 'YJL066C', 'YJL180C', 'YJR034W', 'YJR048W', 'YJR104C', 'YJR135W-A', 'YKL053C-A', 'YKL067W', 'YKL084W', 'YKL087C', 'YKL137W', 'YKL150W', 'YKL152C', 'YKL195W', 'YKR066C', 'YKR071C', 'YLL009C', 'YLL018C-A', 'YLR038C', 'YLR043C', 'YLR168C', 'YLR193C', 'YLR218C', 'YML054C', 'YMR002W', 'YMR038C', 'YMR145C', 'YMR194C-B', 'YMR228W', 'YMR244C-A', 'YNL036W', 'YNR020C', 'YOL143C', 'YOR090C', 'YOR211C', 'YPL132W', 'YPR067W']",,,"['copper ion binding', 'metal ion binding', 'oxidoreductase activity', 'phosphatidic acid transporter activity', 'protein transporter activity']","['aerobic respiration', 'mitochondrial respiratory chain complex IV assembly', 'mitochondrial respiratory chain complex assembly', 'protein import into mitochondrial inner membrane']","['riboflavin, FMN and FAD biosynthesis']","['protein activity: decreased', 'protein/peptide accumulation: decreased', 'respiratory growth: absent', 'respiratory growth: decreased rate']","['TIM12', 'TIM22', 'TIM9', 'NAB2', 'COX4', 'ERV1', 'TIM10', 'CMC1', 'MIA40', 'MIC60', 'CCP1', 'PUF3', 'CCS1', 'TIM23']",,"['extrinsic component of mitochondrial inner membrane', 'mitochondrial inner membrane', 'mitochondrial intermembrane space protein transporter complex', 'mitochondrion', 'respiratory chain']","['Tim10/DDP family zinc finger', 'PRELI-like family']"
mitochondrial intermembrane space protein transporter complex,4,"['YEL020W-A', 'YGR181W', 'YHR005C-A', 'YJR135W-A']",['deafness-dystonia-optic neuronopathy syndrome'],,['protein transporter activity'],['protein import into mitochondrial inner membrane'],,['protein/peptide accumulation: decreased'],"['MIA40', 'TIM23']",,"['mitochondrial inner membrane', 'mitochondrial intermembrane space']",['Tim10/DDP family zinc finger']
mitochondrial iron-sulfur cluster assembly complex,1,['YKL192C'],,,,,,,,,,
mitochondrial isocitrate dehydrogenase complex (NAD+),2,"['YNL037C', 'YOR136W']",['early infantile epileptic encephalopathy'],"['IDP1', 'BNA6', 'PNC1', 'SFC1', 'IDP2', 'RIB2', 'UCC1']",['isocitrate dehydrogenase (NAD+) activity'],"['glutamate biosynthetic process', 'isocitrate metabolic process']","['TCA cycle, aerobic respiration']",['mitochondrial genome maintenance: decreased'],,,,['Isocitrate/isopropylmalate dehydrogenase']
mitochondrial large ribosomal subunit,47,"['YBL038W', 'YBR122C', 'YBR268W', 'YBR282W', 'YCR003W', 'YCR046C', 'YCR071C', 'YDL202W', 'YDR115W', 'YDR116C', 'YDR237W', 'YDR296W', 'YDR322W', 'YDR405W', 'YDR462W', 'YEL050C', 'YGL068W', 'YGR076C', 'YGR220C', 'YHR147C', 'YJL063C', 'YJL096W', 'YKL138C', 'YKL167C', 'YKL170W', 'YKR006C', 'YKR085C', 'YLR312W-A', 'YLR439W', 'YML009C', 'YML025C', 'YMR024W', 'YMR193W', 'YMR225C', 'YMR286W', 'YNL005C', 'YNL122C', 'YNL177C', 'YNL185C', 'YNL252C', 'YNL284C', 'YNR022C', 'YOL114C', 'YOR150W', 'YPL173W', 'YPL183W-A', 'YPR100W']",,,['structural constituent of ribosome'],"['mitochondrial translation', 'translation']",,"['biofilm formation: decreased', 'biofilm formation: increased', 'cell size: decreased', 'chemical compound accumulation: abnormal', 'chemical compound accumulation: decreased', 'chemical compound accumulation: increased', 'chemical compound excretion: increased', 'chronological lifespan: decreased', 'competitive fitness: decreased', 'desiccation resistance: decreased', 'heat sensitivity: increased', 'innate thermotolerance: decreased', 'mitochondrial genome maintenance: absent', 'mitochondrial morphology: abnormal', 'mitophagy: decreased', 'resistance to chemicals: decreased', 'resistance to chemicals: increased', 'respiratory growth: absent', 'respiratory growth: decreased rate', 'stress resistance: increased', 'utilization of carbon source: decreased', 'utilization of carbon source: decreased rate', 'utilization of nitrogen source: decreased rate', 'vegetative growth: decreased rate', 'viable']","['MRPL16', 'COR1', 'PRX1', 'MRPL36', 'MRPL27', 'SRO9', 'IMG1', 'IMG2', 'VAM6', 'MRPL1', 'MHR1', 'MRPL35', 'MRP20', 'MRPL28', 'SLF1', 'SPB4', 'NAB2', 'MRPL25', 'PRP31', 'MRPL9', 'MRP4', 'NSP1', 'MRPL8', 'MRP49', 'MRPL13', 'PUF3', 'MRPL15', 'MRPL4', 'YML6', 'ORC1', 'MRPL3', 'MRPL24', 'MRP7', 'MRPL22', 'MRPL19', 'MRPL17', 'GIS2', 'MRPL10', 'MDM38', 'MRPL40', 'YLH47', 'MRPL7', 'MRPL6', 'MRPL20', 'MRPL23']",,"['large ribosomal subunit', 'mitochondrion', 'ribosome']",
mitochondrial matrix,131,"['YAL044W-A', 'YAL046C', 'YBL013W', 'YBL022C', 'YBR026C', 'YBR044C', 'YBR121C', 'YBR221C', 'YBR227C', 'YBR269C', 'YCR005C', 'YCR024C', 'YCR079W', 'YDL044C', 'YDL045W-A', 'YDL059C', 'YDL107W', 'YDL120W', 'YDL178W', 'YDR194C', 'YDR232W', 'YDR256C', 'YDR258C', 'YDR268W', 'YDR332W', 'YDR379C-A', 'YDR430C', 'YDR493W', 'YDR511W', 'YER048W-A', 'YER058W', 'YER069W', 'YER073W', 'YER095W', 'YER168C', 'YER170W', 'YER178W', 'YFL016C', 'YFL018C', 'YFL036W', 'YGL018C', 'YGL059W', 'YGL064C', 'YGL119W', 'YGR046W', 'YGR171C', 'YGR193C', 'YGR207C', 'YGR222W', 'YGR234W', 'YHR008C', 'YHR011W', 'YHR024C', 'YHR037W', 'YHR070W', 'YHR091C', 'YHR100C', 'YHR208W', 'YIL042C', 'YIL051C', 'YIL070C', 'YIL098C', 'YIL125W', 'YIR021W', 'YJL023C', 'YJL071W', 'YJR045C', 'YJR122W', 'YKL029C', 'YKL040C', 'YKL085W', 'YKL106W', 'YKL134C', 'YKL194C', 'YKR066C', 'YLL027W', 'YLR089C', 'YLR142W', 'YLR163C', 'YLR259C', 'YLR289W', 'YLR304C', 'YLR369W', 'YLR382C', 'YLR389C', 'YML078W', 'YML091C', 'YML110C', 'YML120C', 'YML129C', 'YMR062C', 'YMR083W', 'YMR228W', 'YMR257C', 'YMR287C', 'YNL037C', 'YNL071W', 'YNL073W', 'YNL295W', 'YNL310C', 'YNR001C', 'YOL033W', 'YOL071W', 'YOL095C', 'YOL140W', 'YOR020C', 'YOR022C', 'YOR040W', 'YOR136W', 'YOR226C', 'YOR232W', 'YOR241W', 'YOR350C', 'YOR354C', 'YOR374W', 'YPL029W', 'YPL040C', 'YPL059W', 'YPL097W', 'YPL104W', 'YPL135W', 'YPL188W', 'YPL189C-A', 'YPL252C', 'YPL262W', 'YPL266W', 'YPR001W', 'YPR004C', 'YPR006C', 'YPR047W', 'YPR067W']",['mitochondrial myopathy'],"['COX1', 'ACH1', 'PDB1', 'CTP1', 'CIT2', 'PHO87', 'PTC6', 'YFH1', 'PDA1', 'GCN1', 'UGA1', 'PDX1', 'LEU5', 'HTD2', 'DCD1', 'ATP12', 'SSC1', 'UTR1', 'MAE1', 'NFU1', 'MDH1', 'SDH1', 'IDP2', 'COQ9', 'SSQ1', 'ADH3', 'CTL1', 'HFA1', 'YHM2', 'IDH1', 'LAT1', 'CIT1', 'IFM1', 'MDM38', 'LEU9', 'TIM18', 'ALD6', 'ISU1', 'FUM1', 'SCD6']","['2 iron, 2 sulfur cluster binding', 'ATP binding', 'acetyl-CoA:L-glutamate N-acetyltransferase activity', 'aminoacyl-tRNA ligase activity', 'chaperone binding', 'citrate (Si)-synthase activity', 'iron ion binding', 'iron-sulfur cluster binding', 'ligase activity', 'metalloendopeptidase activity', 'nucleotide binding', 'oxidoreductase activity']","['Group I intron splicing', 'acetyl-CoA biosynthetic process from pyruvate', 'arginine biosynthetic process', 'carbon utilization', 'chaperone mediated protein folding requiring cofactor', 'chaperone-mediated protein complex assembly', 'glutamate biosynthetic process', 'iron-sulfur cluster assembly', 'mitochondrial genome maintenance', 'mitochondrial respiratory chain complex II assembly', 'ornithine biosynthetic process', 'protein folding', 'protein maturation by [2Fe-2S] cluster transfer', 'protein maturation by [4Fe-4S] cluster transfer', 'protein maturation by iron-sulfur cluster transfer', 'protein refolding', 'pyruvate metabolic process', 'regulation of macromitophagy', 'tRNA aminoacylation for protein translation', 'translation', 'tricarboxylic acid cycle']","['TCA cycle, aerobic respiration', 'arginine biosynthesis', 'glyoxylate cycle', 'pyruvate dehydrogenase complex']","['biofilm formation: decreased', 'chemical compound accumulation: abnormal', 'chemical compound accumulation: decreased', 'chemical compound accumulation: increased', 'chronological lifespan: decreased', 'competitive fitness: decreased', 'desiccation resistance: decreased', 'heat sensitivity: increased', 'mitochondrial genome maintenance: abnormal', 'mitochondrial genome maintenance: absent', 'mitochondrial genome maintenance: decreased', 'mitochondrial morphology: abnormal', 'mitochondrial rho- mutation frequency: increased', 'nutrient utilization: decreased', 'oxidative stress resistance: decreased', 'petite', 'protein activity: absent', 'protein activity: decreased', 'resistance to chemicals: increased', 'respiratory growth: absent', 'respiratory growth: decreased', 'respiratory growth: decreased rate', 'stress resistance: increased', 'survival rate in stationary phase: decreased', 'toxin resistance: increased', 'utilization of carbon source: absent', 'utilization of carbon source: decreased', 'utilization of carbon source: decreased rate', 'utilization of nitrogen source: decreased rate']","['PDB1', 'PTC6', 'YFH1', 'CYM1', 'PDX1', 'SDH1', 'APE2', 'MIC60', 'PUF3', 'LAT1']","['RTG3', 'SPT3', 'SUA7']","['extrinsic component of mitochondrial inner membrane', 'mitochondrial inner membrane', 'mitochondrial nucleoid', 'mitochondrial pyruvate dehydrogenase complex', 'mitochondrion']",
mitochondrial membrane,75,"['Q0080', 'Q0130', 'YBL059W', 'YBL098W', 'YBR024W', 'YBR147W', 'YBR150C', 'YDL027C', 'YDL149W', 'YDR027C', 'YDR079W', 'YDR326C', 'YDR343C', 'YDR438W', 'YDR508C', 'YER181C', 'YER182W', 'YGL020C', 'YGL057C', 'YGL084C', 'YGL104C', 'YGL253W', 'YGR231C', 'YGR236C', 'YGR243W', 'YHR135C', 'YHR155W', 'YIL077C', 'YIL087C', 'YJL003W', 'YJL066C', 'YJL161W', 'YJL178C', 'YJR073C', 'YJR085C', 'YKL037W', 'YKL084W', 'YKL148C', 'YLL041C', 'YLR077W', 'YLR283W', 'YLR356W', 'YLR390W', 'YLR426W', 'YML030W', 'YML061C', 'YML081C-A', 'YML086C', 'YML129C', 'YMR003W', 'YMR089C', 'YMR145C', 'YMR157C', 'YMR177W', 'YMR243C', 'YNL256W', 'YNL305C', 'YNL320W', 'YNR018W', 'YOL053W', 'YOR020W-A', 'YOR089C', 'YOR271C', 'YOR316C', 'YPL103C', 'YPL168W', 'YPL172C', 'YPL206C', 'YPL215W', 'YPL224C', 'YPR020W', 'YPR061C', 'YPR097W', 'YPR140W', 'YPR155C']",,,,"['ATP synthesis coupled proton transport', 'mitochondrial respiratory chain complex IV assembly']",,"['mitochondrial genome maintenance: abnormal', 'respiratory growth: decreased rate', 'viable']","['COR1', 'MIC10', 'COX4', 'MIC60']",['SUA7'],"['integral component of membrane', 'integral component of mitochondrial inner membrane', 'membrane', 'mitochondrial inner membrane', 'mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)', 'mitochondrion', 'proton-transporting ATP synthase complex, coupling factor F(o)']",['Cation efflux family']
mitochondrial nucleoid,24,"['YBL099W', 'YBR221C', 'YCL009C', 'YCL064C', 'YCR028C-A', 'YDL066W', 'YDR148C', 'YEL030W', 'YER178W', 'YFL018C', 'YFL036W', 'YGL068W', 'YIL125W', 'YJR045C', 'YJR144W', 'YLR139C', 'YLR259C', 'YLR304C', 'YLR355C', 'YMR072W', 'YMR241W', 'YNL037C', 'YOR142W', 'YOR374W']",,"['ACH1', 'PDB1', 'CIT2', 'PDA1', 'ABF2', 'LAT1', 'CIT1', 'IDH2']","['oxidoreductase activity', 'oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor', 'pyruvate dehydrogenase (acetyl-transferring) activity']","['2-oxoglutarate metabolic process', 'isoleucine biosynthetic process', 'mitochondrial genome maintenance', 'tricarboxylic acid cycle']","['2-ketoglutarate dehydrogenase complex', 'TCA cycle, aerobic respiration', 'isoleucine biosynthesis', 'pyruvate dehydrogenase complex', 'valine biosynthesis']","['chronological lifespan: decreased', 'mitochondrial genome maintenance: abnormal', 'oxidative stress resistance: decreased', 'protein/peptide accumulation: increased', 'replicative lifespan: increased', 'respiratory growth: absent', 'respiratory growth: decreased rate', 'utilization of carbon source: absent', 'utilization of carbon source: decreased', 'utilization of carbon source: decreased rate']","['PTC6', 'CMR1', 'CYM1', 'UBP3', 'RPO41', 'RPN11', 'YMR31', 'BAT1', 'KGD1', 'MIC60', 'ORC1', 'ABF2']","['RTG3', 'SIN4', 'SUA7']","['mitochondrial matrix', 'mitochondrial oxoglutarate dehydrogenase complex', 'mitochondrial pyruvate dehydrogenase complex', 'mitochondrion', 'oxoglutarate dehydrogenase complex']",
