GO_MF(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_MF,Protein_Domain
7S RNA binding,7,"['YDL092W', 'YGL122C', 'YKR081C', 'YML105C', 'YPL210C', 'YPL243W', 'YPR088C']",,['HYP2'],"['signal recognition particle', 'signal recognition particle, endoplasmic reticulum targeting']",['SRP-dependent cotranslational protein targeting to membrane'],,"['growth in exponential phase: decreased rate', 'inviable', 'nuclear export: decreased', 'nuclear export: normal', 'protein/peptide accumulation: abnormal', 'protein/peptide accumulation: normal']","['NTG1', 'YBL028C', 'MOH1', 'TIM12', 'SEC66', 'COS111', 'TDP1', 'MXR2', 'YCR090C', 'BSC1', 'LHP1', 'UBC9', 'VAM6', 'SRP14', 'MRX14', 'YDR124W', 'SRP101', 'IPK1', 'FCF1', 'SDH7', 'SRB4', 'JHD1', 'BEM2', 'SPB4', 'ROG3', 'CRM1', 'YGR237C', 'RIE1', 'PAL2', 'ENO2', 'EGD2', 'ULP2', 'TAD2', 'MHP1', 'MHO1', 'HUL4', 'TTI1', 'SRP21', 'ALT1', 'GLO1', 'SEC65', 'PKR1', 'MIM1', 'TPT1', 'RPL3', 'CAT5', 'LIP5', 'HER1', 'ALD6', 'SRP72', 'SRP68', 'THP3', 'NHP6A', 'SRP54', 'MAL33', 'PPM1', 'RPL37B', 'AGX1', 'RPL29', 'RPL28', 'RPS27B', 'RRF1', 'CRG1', 'LIH1', 'TMA7', 'AIM32', 'YNL193W', 'CIN1', 'YPL113C']",,"['5S rRNA binding', 'endoplasmic reticulum signal peptide binding']",
"8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity",1,['YLR151C'],,,,,,,,,,
"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity",1,['YML060W'],,,,,,,,,,
"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity",1,['YLR151C'],,,,,,,,,,
8-oxo-dGDP phosphatase activity,1,['YJR142W'],,,,,,,,,,
8-oxo-dGTP phosphohydrolase activity,1,['YER005W'],,,,,,,,,,
ABC-type transporter activity,22,"['YCR011C', 'YDR011W', 'YDR135C', 'YDR406W', 'YGR281W', 'YHL035C', 'YIL013C', 'YKL188C', 'YKL209C', 'YKR103W', 'YLL015W', 'YLL048C', 'YLR188W', 'YMR301C', 'YNR070W', 'YOL075C', 'YOR011W', 'YOR153W', 'YOR328W', 'YPL058C', 'YPL147W', 'YPL270W']",['adrenoleukodystrophy'],,"['cell periphery', 'fungal-type vacuole membrane', 'integral component of membrane', 'membrane']","['bilirubin transport', 'cadmium ion transmembrane transport', 'drug transmembrane export', 'oligopeptide export from mitochondrion', 'peptide transport', 'peroxisomal long-chain fatty acid import', 'transmembrane transport', 'very long-chain fatty acid catabolic process']",,,"['SSA1', 'SSB1', 'TPI1', 'VBA4', 'VTC2', 'YGL081W', 'HXT5', 'PDR11', 'QDR2', 'SOP4', 'SFK1', 'FBA1', 'SSA2', 'COF1', 'ZRC1', 'OST2', 'PDR12', 'ZRT1', 'PTR2', 'COS1']",,"['ATP binding', 'ATPase activity, coupled to transmembrane movement of substances', 'bilirubin transmembrane transporter activity', 'cadmium-transporting ATPase activity', 'glutathione S-conjugate-exporting ATPase activity', 'long-chain fatty acid transporter activity', 'nucleotide binding', 'oligopeptide-transporting ATPase activity', 'peptide-transporting ATPase activity', 'xenobiotic-transporting ATPase activity']","['ABC transporter', 'ABC transporter transmembrane region', 'ABC-2 type transporter', 'CDR ABC transporter', 'ABC transporter transmembrane region 2', 'ABC-transporter N-terminal', 'ABC-2 type transporter']"
ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process,1,['YKL192C'],,,,,,,,,,
ADP binding,3,"['YBL099W', 'YCR012W', 'YLL026W']",,,,,,,,,,
ADP transmembrane transporter activity,1,['YPR128C'],,,,,,,,,,
ADP-dependent NAD(P)H-hydrate dehydratase activity,1,['YKL151C'],,,,,,,,,,
ADP-ribose diphosphatase activity,1,['YBR111C'],,,,,,,,,,
ADP-ribosyl-[dinitrogen reductase] hydrolase activity,1,['YBR022W'],,,,,,,,,,
AMP binding,9,"['YAL054C', 'YBR214W', 'YDR441C', 'YGL056C', 'YGL115W', 'YGR240C', 'YLR153C', 'YML022W', 'YMR205C']",['glycogen storage disease'],,"['6-phosphofructokinase complex', 'nucleotide-activated protein kinase complex']","['AMP salvage', 'acetyl-CoA biosynthetic process', 'acetyl-CoA biosynthetic process from acetate', 'adenine salvage', 'canonical glycolysis', 'cellular response to glucose starvation', 'fructose 1,6-bisphosphate metabolic process', 'fructose 6-phosphate metabolic process', 'purine ribonucleoside salvage', 'regulation of intracellular pH']","['acetate utilization', 'ethanol degradation', 'glycolysis', 'salvage pathways of adenine, hypoxanthine and their nucleosides', 'salvage pathways of purines and their nucleosides']",,,,"['6-phosphofructokinase activity', 'acetate-CoA ligase activity', 'acid-ammonia (or amide) ligase activity', 'adenine binding', 'adenine phosphoribosyltransferase activity', 'fructose-6-phosphate binding', 'identical protein binding', 'monosaccharide binding', 'protein kinase binding', 'protein kinase regulator activity', 'protein serine/threonine phosphatase inhibitor activity']","['Phosphofructokinase', 'CBS domain', 'AMP-binding enzyme C-terminal domain', 'Acetyl-coenzyme A synthetase N-terminus']"
AMP deaminase activity,1,['YML035C'],,,,,,,,,,
AMP-activated protein kinase activity,8,"['YDR422C', 'YDR477W', 'YER027C', 'YGL115W', 'YGL208W', 'YJL164C', 'YKL166C', 'YPL203W']",,"['SIP1', 'GAL83', 'SAK1', 'DOC1', 'KSS1', 'BCY1', 'CYR1', 'ELM1', 'MSN4', 'CHA4', 'CDC25', 'MSN2', 'HER2', 'RAS1', 'TPK2', 'YME1', 'SOK1']","['cAMP-dependent protein kinase complex', 'nuclear envelope lumen', 'nucleotide-activated protein kinase complex']","['Ras protein signal transduction', 'cell adhesion', 'invasive growth in response to glucose limitation', 'negative regulation of cytoplasmic mRNA processing body assembly', 'negative regulation of cytoplasmic translation', 'positive regulation of gluconeogenesis', 'positive regulation of pseudohyphal growth', 'protein kinase A signaling', 'protein phosphorylation', 'regulation of primary metabolic process', 'regulation of protein complex assembly', 'regulation of protein kinase activity']",,"['cell death: absent', 'desiccation resistance: absent']","['GPB2', 'NTH1', 'REG1', 'RAD30', 'SNF1', 'PKH1', 'GAL83', 'GIP2', 'SAK1', 'IGD1', 'SNF4', 'SIP2', 'RIM4', 'PFK26', 'RGT1', 'MNR2', 'MBR1', 'SDS22', 'SIP5', 'NPR1', 'JJJ1', 'IRA2', 'PYK2', 'STR3', 'AVT1', 'DGR2', 'CMS1', 'NGL3', 'ISF1', 'ADD37', 'PFK27', 'BAG7', 'LCL1', 'GPH1']",,"['cAMP-dependent protein kinase activity', 'protein kinase activity', 'protein kinase binding', 'protein serine/threonine kinase activity']","['Protein kinase domain', ""5'-AMP-activated protein kinase beta subunit, interaction domain"", 'Glycogen recognition site of AMP-activated protein kinase']"
AP-1 adaptor complex binding,1,['YFL034W'],,,,,,,,,,
AT DNA binding,3,"['YFL008W', 'YFR031C', 'YML113W']",,,,,,,,,['DNA secondary structure binding'],"['RecF/RecN/SMC N terminal domain', 'SMC proteins Flexible Hinge Domain']"
ATP adenylyltransferase activity,2,"['YCL050C', 'YDR530C']",,,,"['nucleoside catabolic process', 'nucleotide biosynthetic process', 'nucleotide metabolic process']",,,,,"[""bis(5'-nucleosyl)-tetraphosphatase activity"", 'sulfate adenylyltransferase (ADP) activity']",['ATP adenylyltransferase C-terminal domain']
